Fullname,ID
Christophe Kurkdjian,620
Othmar Bernet,166
Luca Rivelli,293
Christian Homberger,540
Stefan Faschauner,1029
Sara Stöckli,36
Stefan Heslop,287
Jan Adriaan Hohenstein,161
Matej Beljo,333
Marco Rohner,278
Yannick Wilhelmi,163
Ignacio Belotto,248
Kevin Bosshard,131
Fabian Mächler,604
Nicolas Diehm,1932
Aaron Renggli,344
Steven Fialeix,554
Rolf Weibel,175
Demian Oberhänsli,296
Marius Lüthi,198
Marco Kramer,347
Thomas Wachter,226
Benjamin Wermuth,375
Stefan Mach,144
Juan Coronel,606
Liam Pössl,300
Mikael Back,366
Pius Schneider,370
Oliver Kunz,468
Philippe Dutoit,631
Sina Wieland,1009
Stefan Gehrig,421
Pascal Frey,242
Florian Stöger,537
Nico Bärlocher,2677
Lucien Favey,376
Michael Graf,568
Andreas Gnehm,102
Cédric Kuchen,179
Stefan Eisenreich,2723
Andrew Dawson,451
Thomas Seebacher,477
Joel Wegmüller,415
Marcel Fässler,348
Tarek Shehata,281
Robin Wallace,310
Paul de Gruchy,357
Patrick Maier,261
Finlay Pile,404
Norina Malbasic,22
Ronnie Schüepp,233
Thomas Koch,615
Philipp Richner,294
Tobias Wallin,341
Michael Tanner,138
Robin Degen,411
Alexander Ugolini,327
Stefan Grundmann,79
David Gloor,142
Younes Hafez,2588
Robin Schaub,2684
Kuba Wesolowski,457
Stefan Härtner,383
Marius Hug,365
Lucas Hänni,130
Eilan Niederhauser,291
Daniel Griesemer,
Viturin Mannhart,2694
Stefan Imhof,2695
Pascal Grolimund,105
Anaud Nayer,321
Marco Garbani,101
Sascha Hoederath,255
Nino Giger,2693
Carlos Kraft,558
Hans Gut,340
Jochen Keiber,369
Costa Amadeo,2698
Jan Gastl,610
David Jacquemond,431
Armand Caduff,174
Daniel Graf,158
Danielle Baumeler,28
Robin Müller,336
Finn Koch,616
Andrej Vidmar,338
Walter Küpfer,
Andrew Doell,576
Markus Dieterle,633
Leandro Mannhart,315
Stefan Achim,377
Andrés Meier,317
Yves Hersche,235
Bernhard Schläpfer,152
Tiberiu Jahn-Gerlicze,494
Samuel Krenger,116
Dario Bianchi,243
Pierre Boesinger,1034
Aqeel Rehman,85
Patrick Marty,444
Stefan Iseli,249
Christoph Hänni,2736
Nicole Betchem,26
Olivier Nerko,481
Barni Szellö,416
Pascal Barmettler,487
Thomas Keel,145
Fabio Landerer,492
Germán Sarmiento,529
Sascha Aschwanden,371
Susanne Bischoff,75
Jörg Mostert,345
Nathalie Zeoli,
Yannick Omlor,355
Markus Känel,114
Marlon Bernegger,2681
Thomas Dewaele,565
Rino Mathis,146
Nicholas Brown,181
Sascha Künzli,339
Timmo Waller,595
Severin Escher,511
Stella Kaufmann,15
David Wardle,566
Reto Hediger,136
Joel Sommer,637
Ivo Fischer,319
Philipp Hansert,635
Moreno Zulian,362
Alexis Detavernier,514
Alois Widmann,213
Marco Eggenberger,194
Laura Bettoni,13
Markus Strösslin,99
Marco Steinmann,549
Sergio Orduna,2703
Nicholas Harre,140
Luca Donisi,137
Michel Hess,397
Elias Müller,2711
Michael Schwarz,316
Denian Mujkic,526
Admiv Mujanovic,654
Christian Scheurer,2308
Roger Greenaway,510
Liam Flükiger,318
Rodion Vladimirov,653
Stephan Hübner,2696
Ramon Mock,449
Jonas Aeschlimann,237
Moritz Müller,496
Heinz Lüscher,2598
Jürg Honegger,2626
Peter Seitel,124
Jan Ahmerkamp,476
Michael Kaufmann,520
Christoph Heiniger,88
Milena Lia Penkov,3
Fabian Wülser,218
Alina Pössl,19
David Hämmerli,542
Philipp Waldner,106
Dario Müller,614
Sébastian Garai,109
Norbert Straub,229
Beat Giger,162
Luc Guebey,429
Victor Alvarez Tindal,1062
Carsten Andersen,314
Karin Grässli,1016
Aron Schmid,2746
Sergio Paganoni,618
Michel Haug,108
Dietmar Lamprecht,126
Paul Beger,466
Michael Pereira,256
Markus Waldner,312
Milan Pincar,513
Johannes Frick,651
Oleksandr Yezerskyi,2309
Kartik Buddha,253
